ROW_NUM,YM,CTRD_NM,CTRD_CODE,LVSTCKSPC_NM,LVSTCKSPC_CODE,THSMON,THSMON_ACMTL
13532,202601,강원,6420000,돼지,LBI1000006,36313,36313
13533,202601,강원,6420000,소,LBI1000080,4157,4157
13534,202601,강원,6420000,산양,LBI1000087,288,289
13541,202601,충북,6430000,닭,LBI1000088,6659585,6659585
13536,202601,강원,6420000,염소,LBI1000623,278,278
13537,202601,충북,6430000,돼지,LBI1000006,208720,208720
13538,202601,충북,6430000,오리,LBI1000016,408710,408710
13539,202601,충북,6430000,소,LBI1000080,19733,19733
13540,202601,충북,6430000,산양,LBI1000087,2382,2383
13528,202601,경기,6410000,말,LBI1000007,27,27
13529,202601,경기,6410000,당나귀,LBI1000023,2,2
13521,202601,광주,6290000,소,LBI1000080,1721,1721
13527,202601,경기,6410000,돼지,LBI1000006,217278,217278
13526,202601,울산,6310000,산양,LBI1000087,139,140
13525,202601,울산,6310000,소,LBI1000080,624,624
13524,202601,울산,6310000,돼지,LBI1000006,8868,8868
13523,202601,대전,6300000,소,LBI1000080,704,704
13522,202601,대전,6300000,돼지,LBI1000006,16328,16328
13520,202601,광주,6290000,돼지,LBI1000006,41196,41196
13519,202601,인천,6280000,닭,LBI1000088,883505,883505
13518,202601,인천,6280000,소,LBI1000080,1891,1891
13517,202601,인천,6280000,꿩,LBI1000022,383,383
13516,202601,인천,6280000,돼지,LBI1000006,31057,31057
13515,202601,대구,6270000,닭,LBI1000088,1114218,1114218
13514,202601,대구,6270000,소,LBI1000080,1682,1682
13543,202601,충남,6440000,말,LBI1000007,12,12
13542,202601,충남,6440000,돼지,LBI1000006,292938,292938
13513,202601,대구,6270000,돼지,LBI1000006,25937,25937
13544,202601,충남,6440000,소,LBI1000080,13668,13668
13560,202601,경북,6470000,소,LBI1000080,14821,14821
13573,202601,제주,6500000,닭,LBI1000088,476778,476778
13572,202601,제주,6500000,산양,LBI1000087,55,55
13571,202601,제주,6500000,면양,LBI1000086,5,5
13570,202601,제주,6500000,소,LBI1000080,630,630
13569,202601,제주,6500000,말,LBI1000007,64,64
13568,202601,제주,6500000,돼지,LBI1000006,74692,74692
13567,202601,경남,6480000,닭,LBI1000088,300588,300588
13566,202601,경남,6480000,산양,LBI1000087,1331,1332
13565,202601,경남,6480000,소,LBI1000080,19706,19706
13564,202601,경남,6480000,오리,LBI1000016,80902,80902
13563,202601,경남,6480000,돼지,LBI1000006,187791,187791
13562,202601,경북,6470000,닭,LBI1000088,6193026,6193026
13561,202601,경북,6470000,산양,LBI1000087,717,718
13545,202601,충남,6440000,산양,LBI1000087,1328,1329
13559,202601,경북,6470000,꿩,LBI1000022,150,150
13552,202601,전남,6460000,돼지,LBI1000006,140592,140592
13546,202601,충남,6440000,닭,LBI1000088,12421717,12421717
13547,202601,전북,6450000,돼지,LBI1000006,193429,193427
13548,202601,전북,6450000,오리,LBI1000016,525299,525299
13550,202601,전북,6450000,산양,LBI1000087,86,87
13551,202601,전북,6450000,닭,LBI1000088,36207479,36207479
13549,202601,전북,6450000,소,LBI1000080,2223,2223
13553,202601,전남,6460000,오리,LBI1000016,2257744,2257744
13554,202601,전남,6460000,소,LBI1000080,10954,10954
13555,202601,전남,6460000,산양,LBI1000087,2932,2932
13556,202601,전남,6460000,닭,LBI1000088,3535888,3535888
13557,202601,경북,6470000,돼지,LBI1000006,116826,116826
13558,202601,경북,6470000,말,LBI1000007,3,3
13674,202512,전남,6460000,닭,LBI1000088,3824725,48922804
13679,202512,경북,6470000,산양,LBI1000087,969,8364
13678,202512,경북,6470000,소,LBI1000080,10218,116845
13677,202512,경북,6470000,꿩,LBI1000022,300,1100
13676,202512,경북,6470000,말,LBI1000007,2,19
13675,202512,경북,6470000,돼지,LBI1000006,134230,1300122
13667,202512,전북,6450000,소,LBI1000080,1689,15532
13673,202512,전남,6460000,산양,LBI1000087,3794,42505
13672,202512,전남,6460000,소,LBI1000080,8154,100081
13671,202512,전남,6460000,오리,LBI1000016,3014803,42343801
13670,202512,전남,6460000,돼지,LBI1000006,175184,1761750
13669,202512,전북,6450000,닭,LBI1000088,39344933,452521009
13668,202512,전북,6450000,산양,LBI1000087,102,445
13681,202512,경남,6480000,돼지,LBI1000006,206886,2085641
13680,202512,경북,6470000,닭,LBI1000088,6755568,86828854
13688,202512,제주,6500000,사슴,LBI1000017,3,17
13682,202512,경남,6480000,오리,LBI1000016,187549,1679190
13683,202512,경남,6480000,소,LBI1000080,15413,168716
13684,202512,경남,6480000,산양,LBI1000087,1620,11049
13685,202512,경남,6480000,닭,LBI1000088,388038,3339231
13686,202512,제주,6500000,돼지,LBI1000006,85825,890206
13687,202512,제주,6500000,말,LBI1000007,108,813
13689,202512,제주,6500000,소,LBI1000080,532,5628
13690,202512,제주,6500000,면양,LBI1000086,5,9
13691,202512,제주,6500000,산양,LBI1000087,70,528
13692,202512,제주,6500000,닭,LBI1000088,602198,6967321
13633,202512,인천,6280000,돼지,LBI1000006,35214,348383
13632,202512,대구,6270000,닭,LBI1000088,1301177,15141226
13631,202512,대구,6270000,소,LBI1000080,1393,14610
13666,202512,전북,6450000,타조,LBI1000024,6,50
13630,202512,대구,6270000,돼지,LBI1000006,29267,275738
13664,202512,전북,6450000,돼지,LBI1000006,228062,2285592
13665,202512,전북,6450000,오리,LBI1000016,825069,10381925
13648,202512,경기,6410000,닭,LBI1000088,12634733,138883823
13634,202512,인천,6280000,소,LBI1000080,1691,17870
13663,202512,충남,6440000,닭,LBI1000088,13925607,153348194
13636,202512,광주,6290000,돼지,LBI1000006,52242,512910
13637,202512,광주,6290000,소,LBI1000080,1528,18090
13638,202512,대전,6300000,돼지,LBI1000006,18370,217370
13639,202512,대전,6300000,소,LBI1000080,589,6776
13640,202512,울산,6310000,돼지,LBI1000006,10117,127232
13641,202512,울산,6310000,소,LBI1000080,690,8287
13642,202512,울산,6310000,산양,LBI1000087,240,978
13643,202512,경기,6410000,돼지,LBI1000006,245669,2494439
13644,202512,경기,6410000,말,LBI1000007,22,292
13645,202512,경기,6410000,메추리,LBI1000021,25934,463623
13646,202512,경기,6410000,당나귀,LBI1000023,2,20
13647,202512,경기,6410000,소,LBI1000080,22758,243960
13635,202512,인천,6280000,닭,LBI1000088,800255,10232019
13649,202512,강원,6420000,돼지,LBI1000006,47327,480790
13657,202512,충북,6430000,산양,LBI1000087,2900,27654
13650,202512,강원,6420000,꿩,LBI1000022,2847,9243
